sequence,feasible,objective,total_energy,total_dist,failure_reason,arrival_times
0-38-29,False,0,0,83591.7360311745,Time_Window_Violation,
0-38-30,False,0,0,86846.58438426492,Time_Window_Violation,
0-38-31,False,0,0,85952.4158061724,Time_Window_Violation,
0-38-32,False,0,0,82853.8328578604,Time_Window_Violation,
0-38-33,False,0,0,82757.16548465703,Time_Window_Violation,
0-38-34,True,123.73005083413909,46602665.10500855,83053.3068696365,None,"{0: 2955.5148286107597, 38: 1185.333887509635, 34: 1858.4253643370719}"
0-38-35,False,0,0,86380.98959736162,Time_Window_Violation,
0-38-36,True,121.2591157170171,46567792.39900546,83657.46312736947,None,"{0: 2961.9277125914655, 38: 1185.333891304495, 36: 1771.8143210945175}"
0-38-37,False,0,0,82524.8216649536,Time_Window_Violation,
0-38-39,True,123.73005076641914,46380161.23058024,86542.34499766935,None,"{0: 2875.8287879928057, 38: 1185.3338876080725, 39: 1403.0987799128757}"
0-38-40,False,0,0,98247.1338306675,Time_Window_Violation,
0-38-41,False,0,0,95815.24409047849,Time_Window_Violation,
0-38-42,False,0,0,94500.11786470386,Time_Window_Violation,
0-38-43,False,0,0,91160.64014998073,Time_Window_Violation,
0-38-44,False,0,0,96297.82471319505,Time_Window_Violation,
0-38-45,False,0,0,95214.5126328583,Time_Window_Violation,
0-38-46,False,0,0,92870.66593067066,Time_Window_Violation,
0-38-47,True,98.9840406485846,47186251.0867472,89672.62528498765,None,"{0: 3038.5584143376573, 38: 1185.3338875231536, 47: 2608.229472818959}"
0-38-48,True,92.08559808562347,46756906.39004399,94287.00133019482,None,"{0: 2520.970238753952, 38: 1185.3338882277621, 48: 1672.7459884124146}"
0-38-49,True,112.3301554027542,47343333.59439418,88883.35427513093,None,"{0: 3043.1200764504406, 38: 1185.3338881195352, 49: 2637.9246819529253}"
0-38-50,True,98.98404059251226,46251237.343587294,91237.50577563024,None,"{0: 2892.139284445407, 38: 1185.3338876030884, 50: 2016.7998475674801}"
0-39-1,True,98.2655822850765,47633917.795537084,109529.94550773528,None,"{0: 2905.7423806181314, 39: 1403.0988441877153, 1: 2392.939176596179}"
0-39-2,False,0,0,112404.96757451605,Time_Window_Violation,
0-39-3,False,0,0,103393.23176558543,Time_Window_Violation,
0-39-4,False,0,0,106307.3385930191,Time_Window_Violation,
0-39-5,False,0,0,101962.84809036633,Time_Window_Violation,
0-39-6,False,0,0,105958.90390025516,Time_Window_Violation,
0-39-7,False,0,0,101488.71673379882,Time_Window_Violation,
0-39-8,False,0,0,102840.5236467932,Time_Window_Violation,
0-39-9,False,0,0,105897.30164591117,Time_Window_Violation,
0-39-10,False,0,0,97891.00661965006,Time_Window_Violation,
0-39-11,False,0,0,102396.36179372713,Time_Window_Violation,
0-39-12,False,0,0,125560.05993109531,Time_Window_Violation,
0-39-13,False,0,0,108319.28281846803,Time_Window_Violation,
0-39-14,False,0,0,125319.47489185492,Time_Window_Violation,
0-39-15,False,0,0,116678.09023762538,Time_Window_Violation,
0-39-16,False,0,0,125343.93703298128,Time_Window_Violation,
0-39-17,False,0,0,108598.65172125798,Time_Window_Violation,
0-39-18,False,0,0,109207.64746331697,Time_Window_Violation,
0-39-19,False,0,0,117441.40265034555,Time_Window_Violation,
0-39-20,False,0,0,80725.10139298384,Time_Window_Violation,
0-39-21,True,98.98404064290037,46287127.30412337,81315.17137017705,None,"{0: 2813.5665696448154, 39: 1403.0987785727036, 21: 2261.7853302851668}"
0-39-22,True,98.98404057260996,46363885.83171226,81338.5531814128,None,"{0: 2678.4743387677554, 39: 1403.0987803593364, 22: 2009.3760265527796}"
0-39-23,True,86.70527967375403,46605366.29812588,83043.42623612976,None,"{0: 2550.2694966189065, 39: 1403.098828844086, 23: 1922.7649815997408}"
0-39-24,False,0,0,80806.38630945666,Time_Window_Violation,
0-39-25,False,0,0,81405.54466340864,Time_Window_Violation,
0-39-26,False,0,0,83048.50107800716,Time_Window_Violation,
0-39-27,False,0,0,81470.16207045905,Time_Window_Violation,
0-39-28,False,0,0,83111.206296131,Time_Window_Violation,
0-39-29,False,0,0,80926.81686958105,Time_Window_Violation,
